Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Neuron_30,Neuron_31,Neuron_32,Neuron_33,Neuron_34,Neuron_35,Neuron_36,Neuron_37,Neuron_38,Neuron_39,Neuron_40,Neuron_41,Neuron_42,Neuron_43,Neuron_44,Neuron_45,Neuron_46,Neuron_47,Neuron_48,Neuron_49,Cluster
0,0.6604,0.5652,0.619,0.8726,0.3111,0.4798,0.144,0.4038,0.3106,0.6596,0.936,0.5641,0.2665,0.6944,0.5859,0.4113,0.6153,0.4993,0.6014,0.4303,0.7046,0.5628,0.3565,0.6386,0.3947,0.5738,0.6414,0.3113,0.5833,0.3972,0.4955,0.7856,0.8733,0.3186,0.2017,0.9037,0.6099,0.7003,0.976,0.309,0.4425,0.2705,0.6561,0.3396,0.6266,0.1418,0.479,0.6886,0.1088,0.2693,1
1,-5.1561,-7.0077,0.4579,-0.1053,-1.5866,-3.5282,-4.4572,-4.2249,-4.0009,-5.1355,-1.4865,-7.513,-3.3023,-6.092,-3.0384,-4.6631,-0.0694,-7.7182,-70.0,-3.4026,-0.7426,-6.3269,-6.8993,-70.0,0.1129,-3.7256,-6.791,-2.117,-1.1184,-5.8845,-5.0556,0.4876,-4.0914,-70.0,-1.2791,-1.2488,0.7785,-3.9194,-2.4587,0.8117,-8.0327,-7.4215,-4.9613,0.2683,-1.4298,-70.0,0.3289,-5.7353,-6.8591,-7.0733,1
2,-12.149,-9.2681,-1.5725,-3.9536,-2.181,-4.9214,-7.9175,-8.2311,-12.1875,-8.7964,-1.6301,-12.1834,-4.5283,-5.8605,-5.353,-10.0801,-7.375,-14.5404,-70.0,-6.1636,-8.3211,-7.7307,-11.0861,-70.0,-70.0,-8.2598,-6.3242,-6.7167,-6.6925,-13.4373,-4.8646,-6.6917,-6.3478,-70.0,-4.176,-7.9469,-4.69,-7.3486,-1.2683,-5.8294,-9.6378,-5.6258,-4.7539,-4.0211,-2.4138,-70.0,-5.9597,-10.1546,-12.3057,-14.6955,1
3,-13.4033,-10.3077,-8.9096,-2.2856,-1.765,-7.6912,-13.7669,-9.8359,-19.2394,-14.5138,-6.0172,-19.6171,-10.0116,-13.9825,-7.5674,-8.6994,-11.0338,-21.798,-70.0,-10.3533,-16.0394,-7.7978,-18.5956,-70.0,-70.0,-8.4014,-12.0237,-6.1898,-11.4742,-12.0583,-11.0252,-12.0295,-6.0246,-70.0,-11.5131,-7.1185,-3.0182,-9.1317,-7.8702,-9.0907,-14.2526,-8.6291,-5.9765,-4.6385,-9.0754,-70.0,-5.2714,-8.5756,-16.147,-14.1837,1
4,-19.0174,-8.8908,-13.0049,-3.3179,-1.9282,-7.8364,-12.7644,-14.453,-24.5078,-21.9974,-6.9842,-18.1965,-15.8827,-20.4791,-13.1711,-7.709,-18.8989,-21.6044,-65.6391,-15.6333,-16.091,-11.2188,-21.9268,-70.0,-70.0,-7.2565,-12.2855,-13.4629,-15.9322,-15.4115,-13.8783,-17.64,-6.9581,-69.9922,-12.0953,-14.0359,-2.2935,-10.791,-7.4425,-11.2861,-12.8799,-8.6012,-10.0035,-11.1596,-10.8003,-70.0,-5.649,-10.6532,-15.5696,-19.0613,1
5,-18.7058,-11.6426,-20.3493,-2.7728,-5.2043,-13.9171,-15.4037,-16.3373,-26.1266,-24.235,-11.1802,-16.9528,-20.7532,-25.0811,-19.6845,-6.7831,-23.788,-24.4121,-65.4832,-22.9914,-22.2869,-18.5682,-23.1235,-70.0,-70.0,-7.7914,-19.7512,-18.3105,-13.8718,-22.0621,-17.5415,-18.9475,-12.149,-70.0,-15.1105,-13.863,-0.7819,-18.1124,-8.7277,-11.4751,-16.9215,-11.1718,-9.1586,-9.9369,-12.4314,-70.0,-5.5696,-12.3423,-21.481,-18.038,1
6,-18.0801,-14.863,-25.4371,-6.4888,-11.8508,-19.6225,-14.6891,-23.4154,-33.0915,-22.6209,-14.9742,-18.5457,-25.0605,-27.5286,-20.7396,-8.1055,-22.5727,-26.1215,-61.0547,-26.1078,-21.8894,-21.3438,-20.6033,-68.3157,-70.0,-14.6628,-21.1708,-23.4707,-20.9563,-28.6929,-16.0875,-26.0115,-18.2935,-70.0,-18.2424,-17.421,-2.9576,-17.8659,-7.059,-10.5522,-17.2353,-13.6362,-16.4985,-16.3182,-14.9401,-70.0,-13.4731,-19.1207,-19.4756,-16.8098,1
7,-16.65,-15.4812,-30.0187,-8.5014,-15.6974,-18.3317,-19.3574,-24.0699,-32.1893,-24.6543,-16.1412,-17.6458,-30.1365,-25.3407,-26.3382,-14.4798,-22.9206,-32.1037,-66.3633,-30.2861,-24.5551,-24.4783,-25.8381,-70.0,-68.3089,-18.4876,-24.8785,-21.2528,-22.0101,-25.9099,-14.358,-25.7262,-23.6829,-67.4956,-23.0325,-18.8103,-10.0526,-17.1367,-9.8799,-12.796,-24.7878,-18.1656,-17.1228,-19.0022,-20.6533,-70.0,-16.6168,-23.4029,-25.5187,-20.0928,1
8,-20.1923,-17.6382,-31.9698,-8.3003,-22.2063,-16.5846,-24.8642,-24.2076,-33.3795,-30.4656,-19.2745,-21.7176,-30.5373,-25.2288,-26.3175,-14.822,-27.8082,-34.8629,-64.1008,-27.5594,-25.7954,-26.4472,-27.3502,-66.1456,-66.9191,-19.0638,-26.773,-24.645,-25.9623,-31.5828,-17.9399,-29.2941,-24.0551,-65.6465,-29.5023,-25.3746,-9.2577,-16.3123,-13.2892,-15.3999,-22.6221,-17.9739,-20.9566,-17.5641,-19.8436,-67.5937,-22.5211,-27.6248,-29.5977,-25.6482,1
9,-23.7484,-21.0633,-38.3129,-15.0944,-23.5165,-18.0022,-23.6612,-30.3737,-31.0965,-27.8839,-20.0146,-27.3802,-32.7602,-27.8114,-29.6296,-15.881,-33.0423,-34.8445,-67.4159,-30.1827,-27.1459,-29.2359,-33.0488,-65.4499,-70.0,-26.2172,-27.9531,-22.5418,-23.7447,-35.744,-25.0629,-32.8071,-26.0592,-61.9605,-27.4455,-29.1551,-8.4661,-14.2127,-12.647,-18.6911,-24.0261,-15.83,-24.3112,-15.2161,-26.61,-64.8159,-25.8264,-24.9061,-28.8446,-28.6374,1
