Timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Cluster
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1,101.0,10.0,10.0,101.0,10.0,10.0,10.0,101.0,10.0,10.0,101.0,10.0,101.0,10.0,10.0,10.0,10.0,10.0,10.0,101.0,10.0,10.0,101.0,10.0,10.0,101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,101.0,10.0,10.0,101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
2,201.0,10.0,10.0,201.0,10.0,10.0,10.0,201.0,10.0,10.0,201.0,10.0,201.0,10.0,10.0,10.0,10.0,10.0,10.0,201.0,10.0,10.0,201.0,10.0,10.0,201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,201.0,10.0,10.0,201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
3,301.0,10.0,10.0,301.0,10.0,10.0,10.0,301.0,10.0,10.0,301.0,10.0,301.0,10.0,10.0,10.0,10.0,10.0,10.0,301.0,10.0,10.0,301.0,10.0,10.0,301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,301.0,10.0,10.0,301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
4,401.0,10.0,10.0,401.0,10.0,10.0,10.0,401.0,10.0,10.0,401.0,10.0,401.0,10.0,10.0,10.0,10.0,10.0,10.0,401.0,10.0,10.0,401.0,10.0,10.0,401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,401.0,10.0,10.0,401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
5,501.0,10.0,10.0,501.0,10.0,10.0,10.0,501.0,10.0,10.0,501.0,10.0,501.0,10.0,10.0,10.0,10.0,10.0,10.0,501.0,10.0,10.0,501.0,10.0,10.0,501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,501.0,10.0,10.0,501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
6,601.0,10.0,10.0,601.0,10.0,10.0,10.0,601.0,10.0,10.0,601.0,10.0,601.0,10.0,10.0,10.0,10.0,10.0,10.0,601.0,10.0,10.0,601.0,10.0,10.0,601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,601.0,10.0,10.0,601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
7,701.0,10.0,10.0,701.0,10.0,10.0,10.0,701.0,10.0,10.0,701.0,10.0,701.0,10.0,10.0,10.0,10.0,10.0,10.0,701.0,10.0,10.0,701.0,10.0,10.0,701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,701.0,10.0,10.0,701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
8,801.0,10.0,10.0,801.0,10.0,10.0,10.0,801.0,10.0,10.0,801.0,10.0,801.0,10.0,10.0,10.0,10.0,10.0,10.0,801.0,10.0,10.0,801.0,10.0,10.0,801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,801.0,10.0,10.0,801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
9,901.0,10.0,10.0,901.0,10.0,10.0,10.0,901.0,10.0,10.0,901.0,10.0,901.0,10.0,10.0,10.0,10.0,10.0,10.0,901.0,10.0,10.0,901.0,10.0,10.0,901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,901.0,10.0,10.0,901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
10,1001.0,10.0,10.0,1001.0,10.0,10.0,10.0,1001.0,10.0,10.0,1001.0,10.0,1001.0,10.0,10.0,10.0,10.0,10.0,10.0,1001.0,10.0,10.0,1001.0,10.0,10.0,1001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1001.0,10.0,10.0,1001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
11,1101.0,10.0,10.0,1101.0,10.0,10.0,10.0,1101.0,10.0,10.0,1101.0,10.0,1101.0,10.0,10.0,10.0,10.0,10.0,10.0,1101.0,10.0,10.0,1101.0,10.0,10.0,1101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1101.0,10.0,10.0,1101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
12,1201.0,10.0,10.0,1201.0,10.0,10.0,10.0,1201.0,10.0,10.0,1201.0,10.0,1201.0,10.0,10.0,10.0,10.0,10.0,10.0,1201.0,10.0,10.0,1201.0,10.0,10.0,1201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1201.0,10.0,10.0,1201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
13,1301.0,10.0,10.0,1301.0,10.0,10.0,10.0,1301.0,10.0,10.0,1301.0,10.0,1301.0,10.0,10.0,10.0,10.0,10.0,10.0,1301.0,10.0,10.0,1301.0,10.0,10.0,1301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1301.0,10.0,10.0,1301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
14,1401.0,10.0,10.0,1401.0,10.0,10.0,10.0,1401.0,10.0,10.0,1401.0,10.0,1401.0,10.0,10.0,10.0,10.0,10.0,10.0,1401.0,10.0,10.0,1401.0,10.0,10.0,1401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1401.0,10.0,10.0,1401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
15,1501.0,10.0,10.0,1501.0,10.0,10.0,10.0,1501.0,10.0,10.0,1501.0,10.0,1501.0,10.0,10.0,10.0,10.0,10.0,10.0,1501.0,10.0,10.0,1501.0,10.0,10.0,1501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1501.0,10.0,10.0,1501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
16,1601.0,10.0,10.0,1601.0,10.0,10.0,10.0,1601.0,10.0,10.0,1601.0,10.0,1601.0,10.0,10.0,10.0,10.0,10.0,10.0,1601.0,10.0,10.0,1601.0,10.0,10.0,1601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1601.0,10.0,10.0,1601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
17,1701.0,10.0,10.0,1701.0,10.0,10.0,10.0,1701.0,10.0,10.0,1701.0,10.0,1701.0,10.0,10.0,10.0,10.0,10.0,10.0,1701.0,10.0,10.0,1701.0,10.0,10.0,1701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1701.0,10.0,10.0,1701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
