Timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,10.0,10.0,10.0,0.5312983516364209,10.0,-2.8733987277651165,10.0,-2.3593049101273404,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,-2.5841399529581928,10.0,11.0,-0.9812315522448136,-2.6332793264068215,0.4810154877661095,-0.507249853845765,10.0,10.0,10.0,10.0,10.0,10.0,-1.3195412877276849,-0.7576284194911067,10.0,10.0,-2.1944770871438193,10.0,10.0,-1.9738002501896394,10.0,10.0,10.0,-3.3463613175756093,-2.351914386973289,10.0,-2.1452438702011114,10.0,-3.0457586703951502,10.0,10.0,-0.2296817807217204
2,10.0,10.0,10.0,10.0,10.0,-3.9955534296954243,10.0,-2.767106735371475,10.0,10.0,21.0,10.0,10.0,10.0,10.0,10.0,10.0,0.636113803248656,10.0,21.0,10.0,-2.106882924878862,-2.40550516414558,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-2.299221664827952,0.09077381288461162,10.0,10.0,10.0,10.0,10.0,-6.168594350339055,10.0,10.0,10.0,-7.578909963169061,-4.425925308555504,10.0,-5.199434099685565,10.0,-4.7818480146281654,10.0,10.0,-2.827305051434959
3,10.0,10.0,10.0,10.0,10.0,-1.1036497061819563,10.0,10.0,10.0,10.0,31.0,10.0,10.0,10.0,10.0,10.0,10.0,-3.5665431555075546,10.0,31.0,10.0,-0.9835939572923031,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-6.155938792663402,10.0,10.0,10.0,10.0,10.0,10.0,-5.808046640938169,10.0,10.0,10.0,-9.517773208241682,-8.539197915699905,10.0,-2.218458142167564,10.0,-7.652232148561506,10.0,10.0,-1.106778261437773
4,10.0,10.0,10.0,10.0,10.0,-4.868065557514424,10.0,10.0,10.0,10.0,41.0,10.0,10.0,10.0,10.0,10.0,10.0,-3.929294039869249,10.0,41.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-6.34296280905968,10.0,10.0,10.0,10.0,10.0,10.0,-4.287516355500146,10.0,10.0,10.0,-13.510328451749704,-9.748389575443511,10.0,-0.13837573220356703,10.0,-11.420001718979373,10.0,10.0,-2.0159863356345307
5,10.0,10.0,10.0,10.0,10.0,-6.138200078250006,10.0,10.0,10.0,10.0,51.0,10.0,10.0,10.0,10.0,10.0,10.0,0.7986264333960271,10.0,51.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-8.79904959308216,10.0,10.0,10.0,10.0,10.0,10.0,0.2626262807069608,10.0,10.0,10.0,-15.947273396613019,-13.548667192417774,10.0,-0.7063733584362231,10.0,-11.442127365879772,10.0,10.0,-2.4696046312043993
6,10.0,10.0,10.0,10.0,10.0,-0.9603653206265541,10.0,10.0,10.0,10.0,61.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,61.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.358402802189328,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-9.910096916255442,-9.069986863396165,10.0,0.6356811885288938,10.0,-10.255428284917343,10.0,10.0,-3.0461272187620603
7,10.0,10.0,10.0,10.0,10.0,-1.1570835669732427,10.0,10.0,10.0,10.0,71.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,71.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-9.659288396458084,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.338254428348852,-11.357760130859996,10.0,10.0,10.0,-5.517555354143305,10.0,10.0,-1.0483761456657632
8,10.0,10.0,10.0,10.0,10.0,-1.7880143251970635,10.0,10.0,10.0,10.0,81.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,81.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-6.974291534760088,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-13.529764015119364,-6.453254459336932,10.0,10.0,10.0,-8.049046767219206,10.0,10.0,0.26438965984096185
9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,91.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,91.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-6.313572530040275,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-15.821952607219124,-2.8015818423130563,10.0,10.0,10.0,-2.4510730399157303,10.0,10.0,10.0
