Timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,101.0,101.0,10.0,0.043275484618135796,-0.1719239817645306,0.7587896769012517,10.0,101.0,101.0,0.9765949060741983,10.0,10.0,10.0,10.0,0.984604828664267,10.0,10.0,10.0,10.0,101.0,-0.18817393230948243,101.0,10.0,10.0,-1.5845271132230243,0.7722882201215917,-3.0603203537476986,10.0,-0.2353323161620171,101.0,101.0,-3.388889404881807,0.39848635617553674,10.0,-2.610194758559995,-2.854166486296746,101.0,10.0,10.0,101.0,10.0,10.0,10.0,10.0,0.20400898972084303,10.0,-1.0656065320815493,-1.6632776149642639,10.0,10.0
2,201.0,201.0,10.0,-1.152626505336852,-3.545595313168496,10.0,10.0,201.0,201.0,-3.557119965111178,10.0,10.0,10.0,10.0,0.3376287665573954,10.0,10.0,10.0,10.0,201.0,-1.0924785013340976,201.0,10.0,10.0,-4.795788874334386,-0.3505358008592072,-6.632844075353724,10.0,10.0,201.0,201.0,-3.4123519457083242,10.0,10.0,0.05669805880337364,10.0,201.0,10.0,10.0,201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
3,301.0,301.0,10.0,0.7699575631294966,-6.653384061693375,10.0,10.0,301.0,301.0,-4.628307306549767,10.0,10.0,10.0,10.0,-1.8866616106909109,10.0,10.0,10.0,10.0,301.0,-2.2702156353472622,301.0,10.0,10.0,-6.230058568739622,-2.384450742131235,-7.8385055014829845,10.0,10.0,301.0,301.0,-2.4169449472997444,10.0,10.0,-3.8631012969826646,10.0,301.0,10.0,10.0,301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
4,401.0,401.0,10.0,-0.1761854666815359,-9.451175251965577,10.0,10.0,401.0,401.0,-7.827935672189357,10.0,10.0,10.0,10.0,0.921055185735459,10.0,10.0,10.0,10.0,401.0,-3.7969590129150883,401.0,10.0,10.0,-9.58394894318766,0.9349692958782772,-8.848897954246025,10.0,10.0,401.0,401.0,-1.367066380432549,10.0,10.0,-0.4005665459193448,10.0,401.0,10.0,10.0,401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
5,501.0,501.0,10.0,0.631285532339847,-9.605356896141323,10.0,10.0,501.0,501.0,-8.30869183192814,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,501.0,-1.4438747898208026,501.0,10.0,10.0,-10.438858105517355,-1.165604228043291,-9.40286656263792,10.0,10.0,501.0,501.0,-2.7210195698213733,10.0,10.0,-2.0690278560805098,10.0,501.0,10.0,10.0,501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
6,601.0,601.0,10.0,-1.4056690498734006,-7.75827688833364,10.0,10.0,601.0,601.0,-8.983753248642854,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,601.0,-2.272254130009579,601.0,10.0,10.0,-9.912936933018218,10.0,-11.794738671376091,10.0,10.0,601.0,601.0,-2.53785991452993,10.0,10.0,0.36100441736434874,10.0,601.0,10.0,10.0,601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
7,701.0,701.0,10.0,-1.391189477798246,-8.079503475348158,10.0,10.0,701.0,701.0,-11.265658353870258,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,701.0,-2.58201183525789,701.0,10.0,10.0,-10.065049727464869,10.0,-8.31264774828833,10.0,10.0,701.0,701.0,0.5337999471608423,10.0,10.0,-2.777368963135792,10.0,701.0,10.0,10.0,701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
8,801.0,801.0,10.0,-2.2017234410328586,-11.899085271243642,10.0,10.0,801.0,801.0,-12.707519566425528,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,801.0,-3.0130059366127853,801.0,10.0,10.0,-7.313142675764945,10.0,-9.507863053350373,10.0,10.0,801.0,801.0,10.0,10.0,10.0,10.0,10.0,801.0,10.0,10.0,801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
9,901.0,901.0,10.0,-2.4662879377990627,-15.199668505613682,10.0,10.0,901.0,901.0,-8.198377007839374,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,901.0,-5.105921705164967,901.0,10.0,10.0,-5.656275646483911,10.0,-10.702374364917825,10.0,10.0,901.0,901.0,10.0,10.0,10.0,10.0,10.0,901.0,10.0,10.0,901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
