Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Cluster
0,0.4953,0.4554,0.5179,0.3236,0.0,0.3501,0.6561,0.4096,0.7543,0.6008,0.7334,0.4567,0.384,0.7961,0.261,0.1946,0.5885,0.3118,0.8117,0.7413,0.6644,0.4936,0.7685,0.6994,0.3946,0.5758,0.3048,0.6396,0.6199,0.4172,1
1,0.6402,-4.6074,-2.4929,-3.0283,-0.0132,-6.5743,0.9856,-1.919,-4.9455,-0.4581,-4.2619,-6.5169,0.7807,-5.4408,-1.5532,-7.7889,-3.7948,-4.8989,-1.1976,-2.2476,-70.0,-2.5712,-2.4713,-70.0,-4.6784,-70.0,-1.071,-2.2364,-1.2891,-7.3847,1
2,-2.6877,-6.1218,-10.2495,-10.235,-8.073,-9.608,-5.4368,-10.115,-4.5462,-4.5972,-4.286,-8.5182,-0.1057,-7.4227,-6.1529,-13.6221,-10.8758,-12.2967,-8.0851,-9.489,-70.0,-6.2903,-1.4463,-70.0,-9.2427,-70.0,-4.6676,-8.5099,0.2669,-8.5586,1
3,-7.4959,-6.9438,-13.8337,-12.9035,-7.1958,-15.0663,-4.5394,-11.4115,-7.9321,-5.412,-5.7063,-11.8836,0.1513,-5.8315,-6.7645,-18.9448,-12.1408,-14.8362,-7.6907,-14.0794,-70.0,-8.2698,-9.5383,-70.0,-9.8498,-70.0,-6.5892,-14.9176,-7.2294,-15.9316,1
4,-15.5813,-6.7718,-13.7854,-10.9213,-8.5434,-19.7854,-5.0977,-10.0685,-12.0283,-12.266,-4.7189,-14.2283,-7.7875,-4.8336,-14.2079,-21.1333,-19.4751,-20.9247,-9.5998,-17.2667,-67.8947,-11.0508,-16.236,-68.9924,-16.4423,-68.7188,-13.4726,-15.4404,-12.5084,-22.8182,1
5,-14.8985,-5.1969,-19.8661,-9.5706,-14.6446,-24.9673,-3.6348,-11.9825,-13.6595,-15.9623,-3.3727,-15.5077,-7.4039,-10.5754,-13.9548,-21.7008,-24.9722,-26.0405,-14.2916,-15.138,-70.0,-13.5809,-19.0316,-64.5577,-23.093,-69.3086,-12.002,-13.2989,-11.7974,-30.1376,1
6,-14.0152,-4.3314,-20.0362,-9.0353,-12.8014,-22.7115,-3.6236,-12.9986,-12.9174,-23.499,-10.3139,-22.4054,-9.7525,-16.8579,-17.0452,-25.9758,-24.3694,-27.5338,-14.1262,-13.1933,-70.0,-17.3021,-26.4296,-64.2323,-24.524,-66.134,-18.9904,-13.0938,-19.3971,-34.1215,1
7,-14.1315,-5.9813,-26.335,-12.1257,-20.5454,-26.8439,-2.4326,-15.4649,-18.7508,-26.0612,-12.0777,-20.458,-16.8614,-22.0851,-16.2653,-29.0772,-23.2909,-25.1583,-20.8634,-12.7524,-67.4075,-18.757,-25.7308,-65.3516,-24.31,-66.2054,-25.9359,-14.9435,-17.0908,-35.9684,1
8,-19.4366,-5.484,-31.7273,-14.4876,-22.4952,-28.064,-6.1178,-18.9827,-17.5794,-23.8269,-10.323,-18.8031,-19.8068,-24.983,-19.6429,-27.7333,-26.5621,-25.6017,-20.5197,-17.987,-67.1341,-21.5133,-30.8889,-67.8421,-27.518,-62.1773,-25.1319,-18.9437,-20.5493,-33.7168,1
9,-20.5876,-5.6126,-35.4843,-18.9709,-22.6685,-25.5533,-9.5681,-24.8684,-17.2287,-28.143,-10.484,-18.8953,-17.5851,-31.8873,-22.0636,-27.3724,-31.8249,-32.1341,-22.2027,-20.8143,-67.8666,-20.807,-32.3379,-70.0,-32.903,-57.6319,-26.3005,-23.9305,-24.8591,-38.455,1
10,-26.9781,-12.9473,-38.1921,-25.622,-27.5688,-24.2721,-7.9858,-30.1346,-19.4333,-28.5915,-9.8577,-20.0875,-19.5117,-32.53,-26.1466,-30.8933,-31.2142,-32.188,-19.8597,-23.908,-69.9107,-18.8732,-37.1059,-70.0,-39.3434,-60.3035,-28.6845,-22.1663,-23.4021,-39.8845,1
11,-28.5227,-18.8217,-38.9012,-29.938,-32.2565,-27.6983,-9.0752,-34.7326,-25.8862,-25.7771,-8.0942,-22.5013,-25.1631,-37.3069,-29.21,-33.3587,-30.4369,-30.5243,-22.3262,-27.2635,-67.6411,-25.2994,-41.3169,-69.999,-39.2447,-63.1762,-26.9106,-25.3755,-29.8814,-41.5451,1
12,-25.7072,-22.9673,-36.4222,-33.0401,-36.4307,-28.6617,-11.4721,-37.7228,-29.6238,-25.8095,-12.5784,-25.4643,-26.4629,-38.1738,-31.4725,-32.3719,-29.5051,-32.4449,-26.5826,-31.3571,-64.7181,-28.9478,-39.0699,-70.0,-37.7347,-63.578,-29.5309,-28.602,-30.3129,-42.0959,1
13,-32.788,-29.1557,-40.5383,-34.4443,-38.7888,-33.4104,-11.7864,-39.708,-30.7429,-26.8737,-16.1289,-27.9602,-32.7457,-34.9324,-33.1013,-37.6496,-33.6487,-37.4753,-23.8022,-38.0951,-69.6878,-29.8502,-40.3963,-70.0,-41.9699,-64.2915,-31.5424,-34.0194,-28.2404,-44.2977,1
14,-30.2944,-30.3787,-37.0982,-36.027,-40.8568,-38.4533,-16.1105,-40.6507,-33.496,-32.4118,-17.7339,-29.8061,-36.9416,-38.8198,-34.4644,-39.5726,-37.5546,-40.6858,-27.9786,-39.7008,-70.0,-35.9322,-43.4102,-68.3518,-46.2742,-65.5977,-29.9222,-37.8413,-32.2855,-45.9755,1
15,-31.3843,-34.0779,-34.1629,-35.1348,-44.3737,-36.8112,-21.0388,-44.0072,-36.1164,-37.4517,-16.7174,-33.3794,-35.2213,-35.7355,-37.5418,-41.2816,-34.2416,-43.0749,-33.0579,-44.3385,-70.0,-37.4621,-39.949,-65.0967,-52.3349,-66.2605,-32.0256,-35.887,-33.6767,-49.0389,1
16,-33.4299,-32.7905,-38.7985,-36.5964,-50.1555,-36.5074,-27.0197,-45.3127,-34.5014,-35.671,-19.4014,-39.8123,-36.5914,-39.715,-42.2962,-43.4444,-31.9635,-40.26,-29.9748,-46.0013,-70.0,-37.6598,-42.7972,-66.6111,-51.0244,-62.3796,-32.9193,-36.2945,-40.4435,-47.2796,1
17,-30.947,-38.5732,-41.8036,-39.5083,-51.8799,-42.7005,-31.6405,-42.5778,-33.3162,-35.6452,-19.1661,-40.6439,-39.4261,-44.1838,-40.4416,-45.9592,-30.738,-40.8878,-36.5018,-45.3601,-66.5974,-38.114,-39.3668,-62.4032,-48.1758,-62.9587,-33.8792,-33.1536,-40.1208,-45.2226,1
18,-31.5556,-40.9614,-43.9538,-39.1892,-56.5063,-44.3637,-36.9615,-46.3691,-35.0251,-36.3839,-21.5283,-39.1982,-37.9435,-40.6926,-43.5098,-50.666,-37.2914,-40.3279,-36.1207,-45.5375,-66.6817,-36.4579,-40.4261,-64.9623,-46.904,-60.501,-33.2626,-32.3391,-43.8734,-46.3307,1
19,-32.4342,-45.2921,-41.1595,-39.8276,-56.3271,-42.3675,-37.1648,-52.3462,-34.692,-41.1242,-22.3824,-44.7693,-43.9182,-45.0359,-48.1535,-56.0868,-39.4675,-45.7082,-33.5287,-44.8704,-64.3179,-42.8831,-46.8698,-69.9529,-47.4618,-56.7245,-36.5105,-37.0873,-44.6858,-51.254,0
20,-36.9454,-47.9212,-47.3526,-42.1431,-52.3185,-46.2907,-38.7003,-54.32,-37.5321,-39.324,-25.3417,-49.8088,-46.3235,-44.8589,-52.7608,-60.2382,-36.4938,-47.9659,-36.5688,-43.7041,-67.078,-48.7224,-50.1166,-65.8219,-52.0634,-57.0178,-40.1323,-37.003,-42.0691,-52.4258,0
21,-40.9822,-45.3901,-50.9835,-47.3949,-56.1908,-52.0191,-45.2624,-52.221,-38.1759,-40.4735,-29.5431,-51.8349,-52.1732,-49.6611,-49.6161,-57.5025,-40.5644,-44.4613,-34.775,-46.1347,-65.0968,-46.978,-55.2193,-69.379,-53.2876,-53.0729,-41.4748,-42.8283,-44.1435,-53.5739,0
22,-40.7937,-51.5667,-50.9846,-50.8272,-60.3109,-54.495,-47.7894,-57.0524,-40.8411,-37.0085,-29.1809,-56.0596,-53.9837,-50.6925,-49.2625,-53.7375,-43.151,-42.1234,-37.4698,-49.0822,-69.126,-45.2964,-59.4807,-66.9959,-49.3195,-56.0498,-37.9272,-44.0888,-49.8072,-49.4241,0
