Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Neuron_30,Neuron_31,Neuron_32,Neuron_33,Neuron_34,Neuron_35,Neuron_36,Neuron_37,Neuron_38,Neuron_39,Neuron_40,Neuron_41,Neuron_42,Neuron_43,Neuron_44,Neuron_45,Neuron_46,Neuron_47,Neuron_48,Neuron_49
0,0.7063,0.7414,0.7566,0.3943,0.7146,0.6618,0.4182,0.3922,0.8903,0.5564,0.8497,0.3521,0.5246,0.7177,0.5050,0.6745,0.4804,0.3481,0.3267,0.0000,0.4975,0.4939,0.9340,0.6067,0.4733,0.6366,0.6707,0.7521,0.2453,0.7350,0.1534,0.6353,0.6171,0.7585,0.4345,0.3113,0.4048,0.5214,0.3788,0.0529,0.2653,0.5478,0.7338,0.6607,0.3961,0.2298,0.3320,0.3409,0.4704,0.1045
1,-70.0000,-1.2994,-1.0158,-4.8483,0.4114,-6.6171,0.7716,-4.1410,-70.0000,-70.0000,-2.2868,0.1200,-2.5668,-1.6169,-3.2291,-70.0000,-1.4651,-1.9729,-2.5553,-5.6069,-7.8588,-3.6872,-7.1343,-1.9188,-7.0796,-7.5368,0.7012,-1.1241,-0.0403,-70.0000,-1.4171,-70.0000,-3.8502,-0.8228,-7.7853,-5.4945,-6.9476,-3.6023,-6.1832,-3.9590,-0.7374,-5.0232,0.4721,-70.0000,-1.5942,-7.3440,-7.3017,-70.0000,-1.3140,-0.0955
2,-70.0000,-0.1076,-0.4343,-7.2919,-2.6936,-10.6034,-70.0000,-10.0553,-70.0000,-70.0000,-10.3360,-3.0105,-1.6774,-2.3998,-11.3433,-70.0000,-6.5941,-9.9151,-5.9744,-7.0420,-12.6395,-8.4030,-8.8846,-7.5470,-10.8615,-7.8655,-5.4511,-8.4481,0.2782,-70.0000,-4.6520,-70.0000,-3.2167,-0.4096,-7.4470,-7.8085,-5.8099,-10.7760,-11.5826,-4.2033,-5.6066,-7.5324,-70.0000,-70.0000,-7.0163,-8.0812,-9.8227,-70.0000,-5.9713,-2.5652
3,-70.0000,0.1362,-0.3980,-6.5742,-1.1909,-9.5678,-70.0000,-13.8552,-70.0000,-70.0000,-12.5903,-3.9589,-7.4978,-8.0194,-15.9460,-70.0000,-14.5654,-11.3317,-6.5578,-10.3560,-12.2749,-10.5346,-13.2559,-12.7374,-18.2575,-11.4324,-11.8526,-14.2867,0.5689,-70.0000,-5.1502,-70.0000,-3.3303,-2.9623,-9.1765,-10.3094,-11.5400,-15.8616,-15.5787,-7.0553,-5.9883,-8.7107,-70.0000,-70.0000,-14.6800,-13.3481,-17.4246,-70.0000,-9.6480,-4.1715
4,-70.0000,-3.3212,0.3981,-9.4898,-4.3598,-12.8509,-70.0000,-13.5535,-70.0000,-68.2574,-13.6723,-5.1425,-7.2402,-12.0879,-15.1397,-68.8490,-15.6170,-13.7263,-13.4203,-9.3340,-13.7269,-8.7168,-20.2849,-15.5494,-23.0274,-12.6596,-10.7220,-18.0008,-3.6437,-68.3860,-9.6715,-66.1969,-8.0638,-5.3751,-13.7561,-15.7719,-14.9957,-18.1482,-23.0385,-14.4364,-6.7443,-14.7292,-70.0000,-67.0209,-15.6589,-13.9911,-17.9616,-70.0000,-16.4013,-4.6951
5,-70.0000,-6.8144,0.7954,-13.5066,-12.1591,-18.4202,-66.2762,-12.4244,-70.0000,-70.0000,-15.1311,-11.3083,-6.8632,-12.7165,-17.4684,-70.0000,-20.7825,-15.9014,-17.6013,-16.2636,-17.4006,-7.7368,-25.0633,-21.2477,-28.4976,-17.7338,-17.0160,-21.6755,-2.5229,-63.9296,-9.5245,-68.4263,-15.5658,-10.8955,-18.7970,-21.4299,-20.5967,-23.3527,-24.3272,-19.6175,-11.0552,-20.7410,-70.0000,-70.0000,-20.3204,-17.5495,-20.7821,-70.0000,-23.4814,-6.0713
6,-66.0147,-13.1283,-2.3690,-19.8828,-14.8652,-18.5006,-70.0000,-10.7864,-68.6621,-70.0000,-20.4612,-15.1948,-13.0365,-14.6689,-16.1139,-68.1299,-18.8420,-22.3605,-24.1019,-16.4578,-18.9951,-13.3300,-23.3131,-21.4027,-35.1341,-17.6500,-14.9182,-23.3294,-4.4213,-60.6092,-7.9144,-69.8032,-22.9661,-9.9894,-25.9269,-20.5923,-19.3315,-25.7033,-31.3562,-25.7513,-16.9295,-22.5285,-68.9764,-70.0000,-25.7669,-24.6268,-19.7865,-70.0000,-22.4356,-12.6729
7,-62.0009,-17.3077,-1.3720,-22.4977,-13.1645,-16.2501,-70.0000,-18.5199,-70.0000,-70.0000,-24.3349,-18.4456,-20.0279,-16.1910,-21.2656,-70.0000,-25.8014,-20.8124,-25.3264,-18.6824,-18.0246,-17.6142,-21.9828,-19.2256,-34.3189,-23.5955,-17.3507,-22.8398,-4.9546,-56.1409,-10.8938,-70.0000,-21.3763,-8.5681,-30.5351,-26.4731,-22.6610,-30.7637,-34.2990,-30.7224,-14.7785,-24.3537,-70.0000,-70.0000,-27.7134,-30.4850,-26.4544,-68.6133,-27.1212,-17.1935
8,-59.6757,-16.7002,-6.9118,-29.7313,-15.0826,-16.6714,-70.0000,-17.7713,-65.5056,-68.9556,-26.6027,-24.0271,-27.0022,-21.9973,-24.6510,-69.8606,-24.0562,-22.0273,-26.0760,-16.6101,-23.3267,-22.9149,-22.7055,-26.7424,-33.4078,-22.8874,-16.3297,-25.7549,-4.9330,-59.4096,-17.0784,-70.0000,-25.4805,-7.0774,-37.2656,-25.6653,-20.4658,-34.8227,-31.9823,-27.7459,-13.8762,-23.4776,-70.0000,-70.0000,-33.8477,-29.8465,-28.4683,-65.9575,-28.1096,-20.3953
9,-63.8570,-21.9672,-13.6984,-35.4610,-21.1111,-20.5574,-70.0000,-19.4042,-67.9266,-70.0000,-29.3911,-26.9917,-29.7110,-27.7294,-29.3019,-70.0000,-26.6153,-20.5175,-31.3701,-21.0518,-27.3222,-25.4651,-29.4021,-31.9971,-40.1502,-21.7648,-21.2244,-30.2980,-12.2404,-62.0536,-23.7377,-70.0000,-30.1378,-15.1581,-40.3973,-23.2680,-19.9367,-37.2366,-36.7900,-33.0253,-15.7794,-28.7710,-70.0000,-70.0000,-40.5727,-36.7013,-30.0969,-65.2929,-34.5671,-21.1378
