Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Cluster
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1,-70.0,-2.1336,-5.0611,-0.8797,-4.1814,-1.431,-70.0,-3.896,-3.7896,-3.8716,-6.7536,-70.0,-1.5845,-70.0,-70.0,-0.9684,-70.0,-7.4319,-7.307,-4.0021,1
2,-70.0,-6.6133,-5.1717,0.1709,-2.9604,-1.1028,-70.0,-6.5176,-4.1532,-5.4712,-11.8356,-70.0,-7.369,-70.0,-70.0,-7.5981,-70.0,-9.3788,-9.9324,-10.5496,1
3,-70.0,-5.1955,-4.7091,-6.4774,-8.4365,-0.778,-70.0,-7.323,-8.5963,-8.8782,-18.2712,-70.0,-12.7688,-70.0,-70.0,-12.871,-70.0,-11.4773,-11.8653,-12.0437,1
4,-70.0,-10.9344,-8.2269,-4.9823,-8.2933,-5.3056,-67.2458,-13.3295,-11.4883,-10.2181,-19.2263,-70.0,-12.7218,-70.0,-70.0,-15.6336,-68.7339,-13.9686,-17.0031,-16.7746,1
5,-70.0,-15.8211,-14.2705,-10.1472,-7.5267,-13.4311,-62.4886,-11.7822,-16.3154,-16.0022,-18.8997,-70.0,-15.7711,-70.0,-67.3233,-22.5602,-64.2376,-16.3024,-19.3481,-15.9526,1
6,-66.8973,-14.6275,-13.5793,-15.9966,-7.9086,-13.3236,-66.762,-11.1698,-21.9883,-19.9975,-24.5996,-70.0,-21.7671,-70.0,-62.9346,-26.5863,-69.1398,-19.5996,-23.9328,-22.755,1
7,-67.2249,-18.1766,-13.2126,-19.1358,-7.0248,-19.0523,-70.0,-19.0363,-26.2959,-21.176,-26.3968,-67.2263,-20.5004,-70.0,-60.4291,-28.9498,-67.2007,-24.2258,-27.7172,-23.3202,1
8,-70.0,-21.839,-12.2777,-22.3478,-10.9134,-20.3988,-70.0,-18.9452,-32.715,-23.0684,-24.7531,-65.9638,-24.6655,-70.0,-60.2687,-32.0601,-65.4165,-21.9145,-27.1699,-22.7048,1
9,-70.0,-26.6128,-15.2066,-23.0256,-8.8714,-23.4419,-70.0,-24.2576,-38.0482,-30.1657,-29.9649,-65.0661,-28.9411,-70.0,-56.0431,-37.9474,-61.0759,-21.0092,-27.7416,-23.6581,1
10,-70.0,-24.0579,-22.7942,-25.712,-15.3981,-21.1749,-69.2673,-29.8821,-40.1903,-28.7939,-30.0384,-64.7444,-31.547,-69.9386,-56.8086,-37.3968,-57.8207,-23.0346,-25.7563,-25.9606,1
11,-70.0,-29.4663,-29.7419,-25.3699,-18.6459,-23.1624,-70.0,-30.2675,-41.129,-33.9977,-33.6697,-68.0246,-33.0675,-70.0,-57.353,-39.8301,-54.7295,-28.3351,-28.1228,-30.5388,1
12,-70.0,-26.8884,-28.2338,-27.2445,-25.1775,-24.2137,-70.0,-36.4641,-45.2009,-35.3937,-35.3783,-67.2167,-36.5261,-65.164,-61.722,-39.5608,-60.2633,-30.9577,-31.8488,-32.4141,1
13,-70.0,-31.592,-25.8811,-33.9025,-22.4889,-26.1695,-68.8854,-36.4168,-46.2404,-41.0366,-41.7339,-65.3938,-41.9865,-70.0,-57.5961,-36.4569,-55.8462,-28.0816,-29.8148,-37.4779,1
14,-70.0,-31.7945,-30.8194,-36.647,-23.3488,-26.1872,-70.0,-40.9776,-47.1387,-46.6932,-38.9477,-69.1998,-38.6378,-70.0,-61.2091,-42.2713,-56.4371,-34.143,-28.5176,-43.3156,1
15,-65.7816,-31.8944,-34.3745,-39.5116,-21.7932,-26.6877,-67.0487,-42.6154,-49.2791,-45.5845,-37.7839,-68.8704,-40.4385,-70.0,-59.6089,-48.319,-54.0124,-33.5657,-26.5637,-49.4964,1
16,-63.0552,-35.8488,-31.3525,-43.3954,-24.4072,-27.0085,-64.0203,-40.2664,-50.3557,-48.3472,-43.2977,-65.9323,-37.798,-66.257,-55.7195,-50.4975,-55.3621,-36.8988,-24.4226,-51.7189,1
17,-59.5885,-38.1325,-37.6223,-45.0468,-31.6863,-25.3397,-67.737,-38.0438,-50.994,-48.5501,-46.6398,-70.0,-42.7767,-63.7601,-60.9047,-49.0626,-58.7112,-41.3424,-29.4186,-52.9019,1
18,-63.2539,-41.0204,-39.6127,-47.4487,-34.2396,-30.1844,-66.1832,-37.6115,-47.9062,-53.9054,-44.0743,-70.0,-39.3509,-60.4112,-59.2741,-47.6962,-61.9189,-39.9274,-28.843,-54.4338,1
19,-58.9763,-42.1455,-37.8511,-49.0092,-39.7592,-30.6087,-70.0,-41.9136,-49.1508,-51.3964,-46.8707,-68.0855,-35.9629,-63.2762,-61.4498,-47.5411,-66.7473,-37.789,-29.7229,-55.0029,0
20,-60.9379,-46.6365,-35.4762,-45.3266,-36.522,-34.1189,-70.0,-39.0097,-48.9504,-56.6884,-47.5299,-70.0,-38.2454,-67.2791,-57.3388,-49.9653,-62.6775,-41.3031,-30.7406,-59.4314,0
21,-60.7277,-43.1875,-41.8289,-51.316,-40.9677,-38.7513,-65.4117,-39.7769,-51.6253,-61.6913,-45.4676,-70.0,-36.597,-70.0,-59.862,-49.0842,-64.7668,-40.9826,-30.5444,-56.44,0
22,-62.3732,-45.6008,-39.4374,-50.8753,-46.1978,-45.0971,-60.9234,-36.8025,-55.6067,-64.8472,-45.3019,-67.7119,-34.787,-66.0202,-62.5298,-54.7774,-63.604,-41.4918,-37.0885,-53.3449,0
23,-60.284,-49.9636,-44.1701,-56.4207,-49.458,-48.0112,-60.7399,-38.7078,-52.4592,-62.6756,-45.8918,-69.3387,-39.834,-70.0,-66.4653,-51.9475,-67.3109,-41.5693,-41.8581,-51.205,0
24,-57.9016,-48.0924,-44.2108,-56.2616,-47.2396,-48.0024,-59.851,-36.6508,-51.8714,-64.2847,-49.917,-68.0774,-44.9707,-70.0,-62.0076,-50.2358,-69.7014,-41.7648,-46.1808,-50.2133,0
25,-54.9128,-46.3146,-48.5185,-60.5744,-46.2608,-46.0274,-65.092,-35.1451,-56.9529,-66.2493,-53.587,-70.0,-49.6494,-70.0,-62.5556,-52.0243,-67.7271,-39.207,-45.1378,-49.7492,0
26,-53.6402,-51.2757,-50.059,-61.8749,-43.4626,-50.3445,-67.2055,-31.9917,-56.7888,-61.5086,-55.3839,-70.0,-49.5203,-70.0,-66.722,-53.11,-67.1512,-37.0828,-51.3713,-52.5835,0
27,-52.731,-49.1121,-54.8011,-66.5437,-41.2012,-51.0174,-70.0,-35.8816,-52.8372,-63.1283,-55.8056,-66.5981,-50.6863,-70.0,-62.8098,-56.7329,-68.7192,-43.299,-48.4365,-53.7009,0
28,-49.8327,-52.4301,-57.823,-65.1506,-38.8073,-51.4314,-70.0,-36.3925,-51.6577,-66.7477,-56.2504,-62.1821,-52.4927,-70.0,-61.8737,-59.7988,-64.8365,-41.2058,-51.0513,-57.4183,0
29,-53.0913,-50.1452,-56.4481,-61.0087,-42.8183,-54.1166,-69.3882,-37.1698,-51.4117,-63.9087,-56.0762,-66.6586,-52.4818,-70.0,-59.1956,-57.2987,-61.3653,-41.6925,-54.2017,-62.6998,0
30,-53.5611,-48.5624,-60.8711,-60.4095,-46.6657,-54.7723,-70.0,-40.9753,-49.8392,-60.8498,-60.6994,-63.8024,-56.5338,-70.0,-63.5044,-57.1608,-63.2748,-43.29,-57.4432,-62.9658,0
31,-52.2855,-52.6825,-61.8428,-63.7292,-46.0281,-52.3608,-70.0,-40.0783,-49.9805,-59.2366,-57.7852,-63.7689,-56.2272,-70.0,-59.4495,-53.3301,-64.7378,-39.7682,-57.4613,-62.9802,0
32,-55.4315,-56.715,-58.6551,-65.1894,-46.9877,-57.3733,-67.1144,-43.246,-47.4953,-63.42,-54.9921,-61.0681,-54.6896,-66.5059,-62.2604,-58.9818,-62.676,-40.2621,-62.2399,-59.4646,0
33,-58.7203,-53.503,-56.219,-60.6671,-50.7567,-56.7444,-69.4062,-44.1766,-47.328,-66.588,-55.9042,-61.9672,-55.3997,-67.8489,-64.2755,-63.9524,-64.6813,-39.2769,-61.8244,-59.1086,0
34,-60.9439,-54.8357,-57.0318,-59.4728,-55.2962,-58.5304,-70.0,-47.363,-45.8086,-70.0,-57.5109,-60.848,-56.1646,-70.0,-64.5384,-62.4102,-63.5433,-39.3356,-64.2887,-59.4709,0
35,-61.9515,-51.6448,-57.9953,-55.0113,-60.3377,-56.4389,-69.1574,-50.2676,-42.8047,-70.0,-55.2803,-60.0035,-54.2835,-67.1356,-69.3691,-60.3492,-62.8904,-36.7791,-61.5781,-61.8605,0
36,-60.106,-52.2837,-63.23,-55.4438,-65.3414,-55.9756,-70.0,-52.0519,-47.4449,-70.0,-56.6896,-62.4398,-60.0513,-62.8377,-70.0,-62.8404,-64.6803,-33.4787,-66.8,-62.9223,0
37,-62.1575,-57.7166,-62.7496,-60.1874,-69.8215,-54.0482,-70.0,-48.7065,-46.8742,-70.0,-62.1657,-65.6893,-61.4832,-66.388,-70.0,-65.1995,-60.6031,-34.2091,-67.434,-66.6327,0
38,-61.5831,-57.1506,-66.2271,-65.6544,-69.3199,-53.4161,-69.7595,-54.3405,-45.4632,-66.5039,-61.2368,-62.5875,-66.6168,-64.3444,-65.3596,-69.3888,-56.2989,-37.2387,-64.4166,-68.5114,0
39,-62.8142,-59.7134,-62.1269,-69.7488,-66.8476,-56.8783,-70.0,-52.651,-43.7857,-63.4904,-60.7471,-58.6191,-70.0,-61.6066,-67.845,-70.0,-56.441,-40.4813,-60.0302,-66.8014,0
40,-66.335,-60.4287,-61.048,-65.6483,-70.0,-54.7884,-68.4708,-48.6147,-47.1541,-65.0074,-62.613,-57.8838,-66.9402,-66.2135,-63.5214,-69.1325,-58.2888,-41.7434,-58.6181,-69.9493,0
41,-67.8235,-63.8469,-65.7366,-65.8537,-70.0,-56.8475,-68.4866,-49.4796,-49.0331,-63.0754,-62.1527,-59.1717,-66.2472,-61.7581,-64.2018,-70.0,-56.6085,-43.6595,-60.5567,-70.0,0
42,-64.8102,-62.8786,-66.824,-66.1308,-65.8007,-55.1704,-68.6364,-49.7916,-46.5545,-62.1815,-64.732,-61.9248,-69.2793,-61.4577,-62.6899,-65.3574,-59.5509,-46.7916,-61.1076,-70.0,0
43,-61.1921,-58.5087,-66.071,-64.133,-67.5032,-58.7291,-67.3105,-46.8599,-43.8389,-64.2575,-61.0345,-66.2256,-70.0,-62.6468,-67.5754,-67.1387,-63.8665,-49.2113,-64.1378,-70.0,0
44,-60.3545,-62.5579,-62.2273,-62.9415,-70.0,-59.7415,-68.5731,-47.45,-40.2927,-69.0988,-64.2721,-63.1277,-65.2695,-64.841,-65.0201,-70.0,-69.0772,-52.4748,-62.9143,-67.9549,0
45,-59.0501,-65.3317,-57.6298,-67.1157,-70.0,-60.5439,-65.9873,-45.0355,-43.9329,-68.6839,-65.0318,-63.9141,-69.4152,-61.7964,-63.0921,-70.0,-70.0,-49.2359,-67.4427,-64.9474,0
46,-56.0088,-68.9226,-55.6208,-64.1544,-67.8654,-57.0195,-62.0256,-43.2058,-40.7627,-66.3151,-65.6525,-65.1508,-70.0,-63.3015,-58.9279,-70.0,-70.0,-46.442,-69.562,-63.5977,0
47,-53.4435,-69.731,-51.4541,-61.8182,-70.0,-54.9993,-59.0431,-48.2365,-43.9977,-64.2444,-70.0,-67.6228,-70.0,-63.9904,-60.8067,-68.6075,-70.0,-52.1094,-70.0,-68.6245,0
48,-59.2346,-70.0,-54.5049,-59.8997,-66.8581,-60.2347,-63.4419,-51.7227,-41.7858,-64.496,-69.696,-64.0521,-70.0,-63.1288,-60.0907,-66.4211,-70.0,-49.4574,-65.1138,-66.992,0
49,-60.0673,-69.4774,-56.9181,-58.4309,-70.0,-64.9511,-67.9943,-50.2677,-45.6487,-61.7326,-70.0,-64.0582,-70.0,-65.7476,-61.1985,-67.5546,-65.9254,-54.408,-63.6928,-64.8693,0
50,-59.6731,-65.053,-57.6526,-59.3629,-69.1161,-68.1901,-65.9587,-52.3771,-44.1572,-66.453,-69.2257,-63.856,-70.0,-67.5864,-62.687,-69.5855,-67.8627,-53.3956,-63.1999,-65.2145,0
51,-61.6213,-63.6428,-59.4454,-56.9445,-70.0,-64.1318,-66.7907,-52.7889,-44.0573,-62.5065,-67.3005,-63.0167,-68.1895,-67.579,-60.3926,-69.2331,-70.0,-52.4563,-62.3047,-61.7009,0
52,-63.6692,-60.9572,-58.5695,-59.0719,-70.0,-61.3357,-65.6712,-57.7859,-46.176,-58.4889,-69.6314,-66.9431,-67.8644,-65.9231,-57.3287,-70.0,-68.8142,-51.3371,-64.6296,-63.0152,0
53,-64.352,-63.5622,-62.1073,-58.7869,-70.0,-66.3188,-61.0324,-61.749,-52.0163,-63.2507,-70.0,-64.2599,-64.3496,-62.853,-61.8182,-70.0,-64.5515,-57.0577,-64.3526,-64.8526,0
54,-64.1897,-66.3882,-65.7259,-57.7985,-70.0,-67.0261,-59.2027,-63.6462,-55.0166,-61.0154,-68.6738,-67.1509,-59.7293,-65.2359,-63.7478,-67.5074,-60.8204,-62.4041,-69.0045,-67.7412,0
55,-62.4501,-64.6383,-67.2973,-54.8625,-67.8974,-70.0,-55.7568,-60.3629,-52.7979,-62.5851,-70.0,-65.9711,-59.6272,-65.7679,-60.2404,-64.3097,-58.8518,-59.5078,-68.6156,-63.4793,0
56,-62.9717,-69.3351,-68.7514,-57.3487,-64.2284,-70.0,-59.1752,-57.2683,-56.9989,-65.9556,-70.0,-67.6282,-64.4328,-65.9038,-62.7845,-63.0961,-61.3952,-56.9303,-70.0,-64.7294,0
57,-67.9059,-69.6435,-70.0,-53.9654,-69.0102,-68.2215,-55.3839,-57.6331,-57.8017,-70.0,-70.0,-64.871,-62.93,-68.7378,-63.0513,-67.1305,-62.737,-55.1648,-70.0,-66.2836,0
58,-70.0,-70.0,-69.7187,-50.9509,-65.8713,-66.7255,-51.2074,-63.0718,-55.7806,-65.3829,-70.0,-64.8409,-64.308,-70.0,-58.5747,-70.0,-59.8796,-56.6187,-70.0,-66.4532,0
59,-70.0,-70.0,-70.0,-48.5344,-70.0,-70.0,-55.3673,-66.7777,-54.0295,-70.0,-66.0184,-63.0261,-60.7545,-68.3183,-59.7811,-65.2943,-63.013,-52.695,-68.9622,-62.367,0
60,-67.9094,-70.0,-70.0,-49.588,-70.0,-70.0,-51.4391,-64.4833,-54.3341,-65.4832,-70.0,-61.7662,-66.1999,-70.0,-59.5127,-61.3931,-65.9862,-48.7509,-64.4011,-67.361,0
61,-66.4093,-69.1087,-66.1651,-54.2519,-70.0,-70.0,-51.4012,-60.2599,-58.6865,-60.789,-65.673,-58.7722,-70.0,-70.0,-58.7666,-61.9118,-62.1142,-53.7567,-62.7134,-68.1115,0
62,-64.1639,-69.3504,-64.0223,-58.8494,-70.0,-67.6857,-52.4473,-60.5963,-54.563,-61.225,-68.6297,-61.0673,-68.6787,-70.0,-59.1922,-61.4114,-62.586,-57.9275,-67.1745,-70.0,0
63,-64.95,-64.4834,-67.2039,-58.1115,-70.0,-69.3364,-51.2624,-62.3905,-54.4427,-58.5889,-70.0,-63.4818,-66.9601,-65.9554,-56.5248,-61.1493,-65.2328,-59.9153,-66.4932,-65.7345,0
64,-65.5962,-60.6106,-66.9974,-53.95,-70.0,-70.0,-53.7119,-62.2408,-56.9971,-55.2785,-70.0,-58.8712,-68.4989,-63.8676,-60.6747,-61.8411,-62.7462,-60.6379,-70.0,-70.0,0
65,-62.3914,-60.1213,-65.6881,-55.3635,-65.8465,-70.0,-59.3783,-60.145,-57.3375,-56.9014,-70.0,-56.5251,-70.0,-64.1608,-64.8579,-57.596,-65.6887,-59.9727,-70.0,-65.4276,0
66,-65.5359,-59.2771,-68.2726,-51.3544,-62.4667,-67.177,-59.1326,-62.2162,-53.3857,-53.6922,-69.8018,-59.7256,-70.0,-61.8923,-65.04,-61.2662,-62.8862,-62.7424,-65.103,-61.3737,0
67,-66.6506,-55.7926,-67.9008,-52.9463,-67.1953,-64.2675,-57.2164,-62.558,-57.8057,-51.0693,-67.3954,-57.0641,-70.0,-57.946,-67.3824,-63.2318,-64.3206,-62.3092,-62.1721,-59.2942,0
68,-66.6519,-60.493,-69.916,-57.9901,-70.0,-65.2021,-58.0129,-58.8429,-57.1194,-49.9939,-65.5681,-53.2931,-70.0,-54.7033,-69.3777,-60.1926,-64.9671,-65.3534,-57.7005,-57.8278,0
69,-69.9695,-59.6265,-68.2291,-54.8692,-67.1676,-67.7028,-57.1611,-58.3163,-61.6121,-53.7176,-62.3156,-56.5415,-70.0,-51.4244,-70.0,-60.9561,-69.4032,-63.7497,-53.4608,-57.4294,0
70,-69.5683,-62.8758,-63.7805,-57.692,-70.0,-63.3739,-57.8374,-59.6669,-59.6346,-56.9011,-60.9679,-60.4636,-70.0,-55.5647,-70.0,-59.1549,-69.4958,-62.7319,-58.0584,-62.4742,0
71,-65.9216,-59.3703,-60.958,-54.0784,-70.0,-67.5268,-55.6769,-62.5706,-64.4772,-59.497,-56.7053,-63.0692,-67.3853,-53.9096,-70.0,-64.2377,-70.0,-62.7986,-57.5762,-63.542,0
72,-69.5782,-62.2341,-62.1193,-50.6138,-70.0,-70.0,-59.9204,-64.0291,-62.4866,-62.2182,-53.7853,-68.2786,-66.5146,-53.1641,-70.0,-63.0802,-67.844,-65.0183,-55.3145,-67.3858,0
73,-70.0,-62.2127,-58.3236,-52.7462,-70.0,-70.0,-58.084,-63.7253,-58.38,-61.3868,-58.7019,-70.0,-69.6518,-51.1715,-70.0,-62.6932,-70.0,-62.0616,-57.1132,-66.6596,0
74,-70.0,-62.0616,-56.2262,-50.0414,-69.0799,-70.0,-60.4356,-60.0208,-59.0896,-61.8733,-63.5312,-66.836,-70.0,-55.8955,-70.0,-62.2051,-68.0046,-62.0256,-55.5749,-67.054,0
75,-69.6702,-58.1377,-61.1015,-50.9263,-70.0,-70.0,-59.0467,-62.4992,-59.6576,-63.7085,-61.0915,-63.0746,-69.0481,-60.9121,-66.874,-60.3044,-67.0728,-59.6339,-59.7165,-68.7761,0
76,-67.0095,-60.3819,-66.5143,-53.7366,-65.2288,-68.6741,-59.4078,-63.4021,-63.4237,-59.1385,-60.9389,-63.6267,-65.2589,-59.0957,-67.5386,-61.7456,-63.4925,-56.1052,-61.6706,-70.0,0
77,-65.51,-62.1747,-69.1932,-50.2748,-62.2921,-67.8324,-59.204,-65.3251,-67.4261,-57.442,-60.3813,-59.6184,-65.2461,-56.6453,-70.0,-59.8576,-64.8738,-54.5074,-63.63,-65.7534,0
78,-61.8257,-62.7782,-70.0,-46.4837,-61.0457,-65.714,-55.2565,-66.1002,-70.0,-61.2935,-57.4445,-59.0414,-61.0703,-59.188,-70.0,-63.8584,-65.8154,-59.6326,-60.5055,-61.6055,0
79,-65.2632,-67.6172,-65.2758,-43.9407,-60.8504,-66.3283,-57.4177,-64.7961,-69.3452,-63.5437,-59.3267,-61.3671,-59.8211,-57.8734,-69.8846,-68.5817,-69.3745,-64.5066,-65.4648,-66.2169,0
80,-61.6441,-66.6012,-60.5657,-44.5599,-65.129,-64.7014,-59.8915,-67.7288,-70.0,-64.4691,-62.9365,-57.3319,-62.9846,-54.9732,-67.108,-66.1679,-70.0,-64.5164,-65.1997,-70.0,0
81,-63.7119,-65.4126,-58.1197,-43.1441,-66.8814,-66.1701,-61.3115,-63.1608,-68.4494,-69.0732,-67.259,-59.298,-65.1655,-57.3496,-67.7619,-63.1852,-70.0,-65.2519,-67.8787,-70.0,0
82,-59.528,-69.9546,-60.7342,-49.4527,-70.0,-63.7126,-63.1289,-59.392,-64.8183,-67.0763,-63.1127,-63.6414,-62.1632,-62.2322,-69.3876,-59.031,-67.2817,-69.6363,-68.7746,-70.0,0
83,-58.45,-70.0,-63.5538,-47.1574,-70.0,-61.8928,-59.6807,-64.6285,-61.455,-69.7004,-58.8912,-62.9487,-61.9791,-58.9389,-70.0,-56.3044,-69.7043,-70.0,-70.0,-67.1275,0
84,-54.3403,-69.8705,-63.9274,-46.8083,-70.0,-63.4498,-58.8258,-60.8102,-63.3923,-67.89,-64.3564,-63.8612,-67.2085,-54.8412,-70.0,-55.7629,-70.0,-70.0,-70.0,-70.0,0
85,-53.0485,-69.4306,-66.3276,-45.902,-70.0,-67.6669,-62.2044,-59.8674,-64.9636,-69.9865,-69.0644,-59.6551,-63.6201,-59.3921,-70.0,-55.9958,-65.9513,-70.0,-70.0,-69.9225,0
86,-55.5812,-70.0,-67.5595,-50.5023,-70.0,-64.6369,-63.8121,-56.6916,-65.6106,-70.0,-68.2309,-60.2551,-59.3762,-64.0984,-65.9356,-61.187,-70.0,-70.0,-70.0,-70.0,0
87,-58.6604,-65.1661,-64.9252,-52.9279,-65.3739,-64.934,-68.6989,-54.551,-63.8803,-67.3284,-66.436,-62.6113,-63.8978,-63.5201,-62.1943,-57.9865,-68.8319,-70.0,-70.0,-68.8209,0
88,-56.9702,-67.5209,-61.1057,-51.499,-61.5381,-69.6597,-67.2419,-57.084,-68.5832,-68.7281,-67.165,-58.9831,-59.5414,-66.4817,-66.9275,-54.0697,-64.9327,-70.0,-70.0,-70.0,0
89,-59.2217,-68.7995,-64.9279,-54.2784,-60.3064,-67.4491,-65.2871,-56.5575,-69.6504,-66.342,-67.4913,-62.1119,-57.4608,-66.3959,-67.5153,-51.5086,-65.9209,-70.0,-70.0,-70.0,0
