Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19
0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1,-4.4941,-70.0000,-3.1987,-2.6707,-1.4583,-3.0131,-70.0000,0.7242,-2.8795,-5.3749,-70.0000,-70.0000,-7.0757,-5.5045,-0.5932,-2.8613,0.0780,-1.5237,-6.4845,-70.0000
2,-5.0011,-70.0000,-11.5217,-6.2285,-4.2133,-3.1514,-70.0000,-0.3855,-3.1699,-9.2644,-70.0000,-70.0000,-14.2268,-11.5035,-1.3576,-2.8208,-5.2339,-2.5528,-6.5284,-70.0000
3,-12.5321,-70.0000,-14.3545,-11.5644,-9.4831,-5.9171,-70.0000,-6.2299,-10.3342,-12.2339,-70.0000,-70.0000,-18.5956,-11.6414,-4.9616,-4.8035,-12.0048,-3.1025,-7.3289,-70.0000
4,-15.4657,-70.0000,-16.2131,-13.1058,-8.3136,-8.2536,-66.4784,-5.1962,-16.7899,-15.9936,-70.0000,-68.5468,-24.5731,-16.5873,-5.2131,-11.3579,-13.6565,-6.6743,-10.0431,-70.0000
5,-17.6353,-70.0000,-23.7944,-11.7298,-15.7760,-11.1820,-63.3243,-9.1660,-24.3546,-15.8143,-70.0000,-64.7553,-22.9783,-17.1578,-6.1153,-17.2779,-19.6536,-9.4611,-8.8690,-70.0000
6,-20.9618,-70.0000,-24.2645,-10.9126,-19.3816,-9.4600,-62.0384,-10.2082,-30.4457,-13.6191,-68.2570,-68.4793,-26.2325,-20.6464,-10.4238,-19.7600,-25.5716,-13.3275,-12.5354,-70.0000
7,-22.4926,-70.0000,-24.9675,-13.9567,-18.8549,-7.8768,-62.1060,-11.0855,-36.6627,-21.2870,-70.0000,-66.7221,-33.2741,-25.7788,-15.2578,-22.4402,-28.4627,-16.1050,-19.2466,-70.0000
8,-23.8591,-70.0000,-25.4891,-19.9909,-25.1186,-14.5216,-60.2491,-19.0259,-37.5088,-21.6156,-65.9362,-69.2038,-30.8775,-27.2526,-20.2531,-25.4155,-34.3156,-20.0651,-22.8388,-70.0000
9,-31.0830,-70.0000,-29.1069,-23.2137,-28.9119,-18.4831,-58.5877,-25.7671,-37.7333,-24.1840,-69.0863,-69.5125,-35.1608,-32.7303,-26.2079,-30.2315,-35.4030,-26.8087,-21.3810,-67.2446
10,-28.3407,-70.0000,-27.8215,-28.8331,-31.5377,-19.3450,-54.3994,-25.7820,-38.9374,-31.4121,-68.5909,-70.0000,-34.0335,-32.6230,-31.9031,-33.8919,-39.7560,-26.8528,-23.9097,-68.1686
11,-32.9381,-67.5525,-27.7644,-35.6723,-37.2288,-26.0978,-58.9583,-32.7468,-44.4401,-36.6297,-70.0000,-70.0000,-40.4680,-39.0954,-35.0502,-34.9500,-39.9986,-28.6368,-23.0099,-70.0000
12,-37.8895,-70.0000,-24.9407,-42.2774,-39.5257,-28.5040,-58.7873,-34.6548,-45.2955,-34.7375,-69.3667,-70.0000,-38.1100,-43.4501,-40.5290,-33.1511,-45.0648,-30.1265,-29.9615,-70.0000
13,-35.5067,-69.7738,-28.0829,-40.8539,-36.5253,-25.6840,-58.4583,-37.2187,-49.1187,-36.2240,-67.8058,-67.0850,-38.7682,-45.6051,-44.3513,-39.1794,-50.7655,-29.2816,-32.2544,-67.4474
14,-38.8573,-70.0000,-27.9179,-38.3194,-37.0845,-29.5004,-60.9099,-43.5549,-51.4790,-38.6931,-70.0000,-68.5598,-40.9566,-42.5044,-50.2971,-36.5468,-48.7002,-29.3459,-30.6688,-62.8845
15,-42.3751,-67.2251,-26.5736,-35.2262,-34.1072,-34.9527,-62.4256,-48.1449,-50.7629,-42.6983,-67.7957,-70.0000,-41.6628,-38.9436,-48.7203,-34.2692,-46.4194,-32.2172,-30.1240,-59.8526
16,-45.4424,-63.5989,-32.8939,-38.6421,-38.3280,-36.8378,-64.6763,-44.7044,-47.5917,-48.5673,-70.0000,-65.8611,-44.1256,-38.1778,-54.6714,-32.0567,-44.2573,-38.2758,-33.1092,-59.4070
17,-42.7474,-62.3069,-37.7716,-40.9655,-37.1412,-35.8494,-67.4906,-49.2124,-44.7671,-47.4136,-65.8386,-64.1983,-49.2286,-41.3987,-60.1345,-32.4709,-42.6134,-37.8120,-39.1772,-56.5141
18,-43.6099,-66.3786,-39.3330,-44.0459,-38.9657,-38.2469,-70.0000,-54.1874,-44.5424,-51.8174,-70.0000,-68.8089,-49.1886,-37.9622,-56.9451,-37.1194,-48.9316,-36.4896,-36.6099,-57.0957
19,-42.6168,-64.9225,-42.0481,-41.9621,-40.9555,-41.6022,-70.0000,-55.4414,-49.4924,-48.0571,-68.1972,-68.9525,-46.9921,-36.5613,-61.4316,-43.4169,-47.3680,-40.7232,-34.5709,-59.5205
20,-48.7657,-64.4889,-45.3369,-39.3217,-37.6778,-39.3877,-67.8570,-51.8055,-49.6621,-48.7880,-64.0229,-70.0000,-46.1599,-36.9663,-61.5859,-44.5291,-43.6390,-41.2605,-37.5314,-57.0271
